ID,Form,Gloss_es,POS,Gloss,Translation,Paradigm,Gramm,Comment,PERT,NPERT,2_Prefix
pe,pe,Seje pequeño,n,palm.sp,palm.sp,,,,,,
peti,peti,"pierna, muslo",n,leg,leg,,,,,,
peye,peye,Terecay,n,turtle.sp,turtle.sp,,,,,,
picha,picha,Mono capuchino,n,capuchin monkey,capuchin monkey,,,,,,
pichipichi,pichipichi,Moralla,n,whitebait,whitebait,,,,,,
pika,pika,"Pelar (tuberculo, verdura, fruta)",vt,peel,peel,,,,,,
pike,pikë,Pedo,n,fart,fart,,,,,,
pinchi,pinchi,particula suspensiva,part,HES,HES,,,,,,
pipi,pipi,"Hermano menor de una mujer,",n,younger brother of woman,younger brother of woman,,,,,,
poroko,poroko,tipo de cesta,n,basket.sp,basket.sp,,,,,,
poye,poye,"por encima de; para, por",postp,above,above,,,,,,
peke,pëkë,"acerca de, a causa de; por, para, sobre",postp,about,about,,,,,,
pimi,pïmï,Cuello; nuca,n,neck,neck,,,,,,
pirika,pïrïka,Aguantar (dolor),vt,endure,endure,,,,,,
roko,roko,loco,n,crazy,crazy,,,,,,
romoye,romoye,Rio abajo (estar),adv,downriver,downriver,,,,,,
rotoro,rotoro,Doctor,n,doctor,doctor,,,,,,
sakara,sakara,Guabina,n,hoplias malabaricus,hoplias malabaricus,,,,,,
sakau,sakau,Arena,n,sand,sand,,,,,,
saku,saku,Batata,n,sweet potato,sweet potato,,,,,,
samo,samo,llorar,vi,cry,cry,,,,,,
sampu,sampu,Pez caribe negro,n,black piranha,black piranha,,,,,,
sapara,sapara,Sarten: paila; olla de metal pesada,n,heavy pot,heavy pot,,,,,,
sawo,sawo,Raudal,n,rapids,rapids,,,,,,
sere,sere,"yuca amarga, Casabe",n,bitter manioc,bitter manioc,,,,,,
sukase,sukase,"Todo, todos",adv,all,all,,,,,,
sukutaka,sukutaka,Yucuta,n,yucuta,yucuta,,,,,,
surukupi,surukupi,Machete de caño,n,fish.sp,fish.sp,,,,,,
sema,sëma,"Morir(se), fallecer",vi,die,die,,,,,,
tajme,tajme,"feisimo,horrible, hacer cosa prohibida",adv,ugly,ugly,,,,,,
tajnomo,tajnomo,Piaroa,n,Piaroa,Piaroa,,,,,,
tajropo,tajropo,tener fiebre,vi,have fever,have fever,,,,,,
takono-takon,takono; takon,"otro, otra persona, otra cosa",n,other,other,,,,,,
tapa,tapa,bofetear; pegar (persona o animal); sobar (niño),vt,beat,beat,,,,,,
taro-taj-ta,taro; taj; ta,"Decir, preguntar",vt,say,say,,,,,,
tawa,tawa,Aguaitacamino,n,nyctidromus albicollis,nyctidromus albicollis,,,,,,
teijpo,teijpo,"lejos, lejano; largo",adv,far,far; long,,,,,,
tejwetunu-tejetum,tejwetunu; tejetum,enfermito,n,sick,sick,,,,,,
ti,ti,pues,part,HSY,HSY,,,,,,
tonko,tonko,Jugar,vi,play,play,,,,,,
torote,torotë,Cementerio (no posesivado),n,cemetery,cemetery,,,,,,
toto,toto,Gente; No indio; criollo,n,non-Indian,non-Indian,,,,,,
tuj,tuj,ideofono ruido de la caída,ideo,fall,fall,,,,,,
tujnaka,tujnaka,Peor de salud; grave,adv,iller,iller,,,,,,
tuna,tuna,"Agua, río, caño",n,water,water,,,,,,
tunami-tunam,tunamï; tunam,esconder,vt,hide,hide,,,,,,
tu,tu,Dar,vt,give,give,,,,,,
te,të,en,postp,LOC,LOC,,,,,,
tejta,tëjta,Hueco; madriguera; guarida; cueva,n,hollow,hollow,,,,,,
tewi,tëwï,el o ella,pn,3PRO,3PRO,,,,,,
tewisantomo-tewisanton,tëwïsantomo; tëwïsanton,ellos o ellas,pn,3PRO.PL,3PRO.PL,,,,,,
waijta,waijta,"raton, rata",n,mouse,mouse,,,,,,
waijte,waijtë,Cabeza; ovillo (de algodón),n,head,head,,,,,,
waimu,waimu,Habla ; lengua ; idioma,n,language,language,,,,,,
wajyaki,wajyakï,alegre,n,happy,happy,,,,,,
wajyaki,wajyakï,estar alegre,vi,be happy,be happy,,,,,,
wajyakiti,wajyakïtï,muy alegre,n,very happy,very happy,,,,,,
wanapu,wanapu,"Sabana, hierba de la savana, paja",n,savannah,savannah,,,,,,
wanene,wanene,Suegra real o potencial; Tía paterna para una mujer; tia materna para un hombre,n,aunt,aunt,,,,,,
waraijtokomo-waraijtokom,waraijtokomo; waraijtokom,"Hombre, varón, macho",n,man,man,,,,,,
warota,warota,Trabajar,vi,work,work,,,,,,
ware-nware-nwa-wa-enware-uware,warë; nwarë; nwa; wa; ënwarë; uwarë,asi,adv,thus,thus,,,,,,
