"ID","Form","Translation","Translation_es","POS","Gramm","Comment","Paradigm","PERT","NPERT","2_Prefix","Loanword"
,"sakunkai","S.","S.","intj",,,,,,,
,"i","put","poner","vt",,,,,,,
,"kïj; kï; kë","ugh","uy","intj",,,,,,,
,"ajaja; ja-ja-ja-ja","hahaha","jajaja","intj",,,,,,,
,"përemekï","talk","hablar","vi",,,,,,,
,"narëpe","PART","PART","part",,"Rhetorical question?",,,,,
,"parë","also","también","part",,,,,,,
,"sa","EVAL","EVAL","part",,,,,,,
,"yekerema","boast sexually","alardear sexual","vt",,,,,,,
,"sukuri","silently","calladito","adv",,,,,,,
,"yarë","alone","solo","postp",,,,,,,
,"mmm","yes","sí","intj",,,,,,,
,"wëra; wara; wora","like","como","postp",,,,,,,
